Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Amari Murry,,,,,,,
Project,AM-PVP L- Carbon disulfide-Cyclohexane-1,2dichlorobenzene-Xylene,,,,,,
Reactor1,14.9 mg/ml PVP L in  Carbon disulfide,,,,,,,
Reactor2,14.9 mg/ml PVP L in Cyclohexane,,,,,,,
Reactor3,15.1 mg/ml PVP L in 1,2dichlorobenzene,,,,,,
Reactor4,15.1 mg/ml PVP L in Xylene,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,MW 14K,,,,,,,
polymer_ids,PVP L:32,,,,,,,
solvent_ids,Carbon disulfide:30,Cyclohexane:32,"1,2dichlorobenzene:39",Xylene:38,,,,
Start of Experiment,11/17/23 13:12,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,D,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,17, sec,,,,
Tune,,,,,,,,
Stir (Bottom) at,900, rpm,,,,,,
Hold at,20, for ,92, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
11/17/23 13:12,0:00:02,25.6,26.3,100,100,100,100,0
11/17/23 13:12,0:00:04,25.3,26.3,100,100,100,100,0
11/17/23 13:12,0:00:05,24.9,26.2,100,100,100,100,0
11/17/23 13:12,0:00:06,24.6,26.2,100,100,100,100,0
11/17/23 13:12,0:00:07,24.3,26.1,100,100,100,100,0
11/17/23 13:12,0:00:08,23.9,25.9,100,100,100,100,0
11/17/23 13:12,0:00:09,23.6,25.8,100,100,100,100,0
11/17/23 13:12,0:00:10,23.3,25.6,100,100,100,100,0
11/17/23 13:12,0:00:11,22.9,25.4,100,100,100,100,0
11/17/23 13:12,0:00:12,22.6,25.2,100,100,100,100,0
11/17/23 13:12,0:00:13,22.3,25,100,100,100,100,0
11/17/23 13:12,0:00:14,21.9,24.7,100,100,100,100,0
11/17/23 13:12,0:00:15,21.6,24.5,100,100,100,100,0
11/17/23 13:12,0:00:16,21.3,24.2,100,100,100,100,0
11/17/23 13:12,0:00:17,20.9,24,100,100,100,100,0
11/17/23 13:12,0:00:18,20.6,23.7,100,100,100,100,0
11/17/23 13:12,0:00:19,20.3,23.5,100,100,100,100,0
11/17/23 13:12,0:00:20,20,23.2,100,100,100,100,0
11/17/23 13:12,0:00:21,20,22.9,100,100,100,100,0
11/17/23 13:12,0:00:22,20,22.6,100,100,100,100,0
11/17/23 13:12,0:00:23,20,22.4,100,100,100,100,0
11/17/23 13:12,0:00:24,20,22.1,100,100,100,100,0
11/17/23 13:12,0:00:25,20,21.9,100,100,100,100,0
11/17/23 13:12,0:00:26,20,21.7,100,100,100,100,0
11/17/23 13:12,0:00:27,20,21.5,100,100,100,100,0
11/17/23 13:12,0:00:28,20,21.3,100,100,100,100,0
11/17/23 13:13,0:00:29,20,21.2,100,100,100,100,0
11/17/23 13:13,0:00:30,20,21,100,100,100,100,0
11/17/23 13:13,0:00:31,20,20.9,100,100,100,100,0
11/17/23 13:13,0:00:32,20,20.8,100,100,100,100,0
11/17/23 13:13,0:00:33,20,20.8,100,100,100,100,0
11/17/23 13:13,0:00:34,20,20.7,100,100,100,100,0
11/17/23 13:13,0:00:35,20,20.6,100,100,100,100,0
11/17/23 13:13,0:00:38,20,20.4,100,100,100,100,0
11/17/23 13:13,0:00:39,20,20.4,100,100,100,100,0
11/17/23 13:13,0:00:40,20,20.3,100,100,100,100,0
11/17/23 13:13,0:00:41,20,20.3,100,100,100,100,0
11/17/23 13:13,0:00:42,20,20.3,100,100,100,100,0
11/17/23 13:13,0:00:43,20,20.2,100,100,100,100,0
11/17/23 13:13,0:00:44,20,20.2,100,100,100,100,0
11/17/23 13:13,0:00:47,20,20.2,100,100,100,100,0
11/17/23 13:13,0:00:48,20,20.1,100,100,100,100,0
11/17/23 13:13,0:00:49,20,20.1,100,100,100,100,0
11/17/23 13:13,0:00:53,20,20.1,100,100,100,100,0
11/17/23 13:13,0:00:55,20,20.1,100,100,100,100,0
11/17/23 13:13,0:00:58,20,20.2,100,100,100,100,0
11/17/23 13:13,0:01:04,20,20.2,100,100,100,100,0
11/17/23 13:13,0:01:05,20,20.2,100,100,100,100,0
11/17/23 13:13,0:01:06,20,20.2,78,100,100,100,0
11/17/23 13:13,0:01:07,20,20.2,78,100,100,100,0
11/17/23 13:13,0:01:08,20,20.1,78,100,100,100,0
11/17/23 13:13,0:01:09,20,20.1,78,100,100,100,0
11/17/23 13:13,0:01:10,20,20.1,78,100,100,100,0
11/17/23 13:13,0:01:11,20,20.1,78,100,100,100,0
11/17/23 13:13,0:01:12,20,20.1,78,100,100,100,0
11/17/23 13:13,0:01:13,20,20.1,78,100,100,100,0
11/17/23 13:13,0:01:17,20,20.1,78,100,100,100,0
11/17/23 13:13,0:01:18,20,20.1,78,100,100,100,0
11/17/23 13:13,0:01:21,20,20.1,78,100,100,100,0
11/17/23 13:13,0:01:22,20,20,78,100,100,100,0
11/17/23 13:13,0:01:24,20,20,78,100,100,100,0
11/17/23 13:13,0:01:25,20,20,78,100,100,100,0
11/17/23 13:13,0:01:26,20,20,33,100,100,100,0
11/17/23 13:13,0:01:27,20,20,18,57,100,100,0
11/17/23 13:13,0:01:28,20,20.1,16,57,100,100,0
11/17/23 13:14,0:01:29,20,20.1,16,57,100,100,0
11/17/23 13:14,0:01:30,20,20.1,15,57,100,100,0
11/17/23 13:14,0:01:31,20,20.2,15,57,100,100,0
11/17/23 13:14,0:01:32,20,20.2,16,57,100,100,0
11/17/23 13:14,0:01:34,20,20.2,16,57,100,100,0
11/17/23 13:14,0:01:35,20,20.2,15,57,100,100,0
11/17/23 13:14,0:01:36,20,20.2,16,57,100,100,0
11/17/23 13:14,0:01:39,20,20.2,16,57,100,100,0
11/17/23 13:14,0:01:40,20,20.2,17,57,100,100,0
11/17/23 13:14,0:01:41,20,20.1,16,57,100,100,0
11/17/23 13:14,0:01:43,20,20.1,16,57,100,100,0
11/17/23 13:14,0:01:44,20,20.1,17,57,100,100,0
11/17/23 13:14,0:01:45,20,20.1,16,57,100,100,0
11/17/23 13:14,0:01:46,20,20.1,16,57,100,100,0
11/17/23 13:14,0:01:47,20,20.1,18,57,100,100,0
11/17/23 13:14,0:01:48,20,20.1,16,13,90,100,0
11/17/23 13:14,0:01:49,20,20,16,22,69,100,0
11/17/23 13:14,0:01:50,20,20.1,15,22,69,100,0
11/17/23 13:14,0:01:51,20,20.1,15,24,69,100,0
11/17/23 13:14,0:01:52,20,20,16,24,69,100,0
11/17/23 13:14,0:01:53,20,20.1,16,25,69,100,0
11/17/23 13:14,0:01:54,20,20.1,15,25,69,100,0
11/17/23 13:14,0:01:55,20,20.1,16,25,69,100,0
11/17/23 13:14,0:01:56,20,20.1,15,28,69,100,0
11/17/23 13:14,0:01:57,20,20.1,16,26,69,100,0
11/17/23 13:14,0:01:58,20,20.1,16,25,69,100,0
11/17/23 13:14,0:01:59,20,20.1,15,27,69,100,0
11/17/23 13:14,0:02:00,20,20.1,16,28,69,100,0
11/17/23 13:14,0:02:01,20,20,16,25,69,100,0
11/17/23 13:14,0:02:02,20,20,16,25,69,100,0
11/17/23 13:14,0:02:03,20,20,17,28,69,100,0
11/17/23 13:14,0:02:04,20,20,15,25,69,100,0
11/17/23 13:14,0:02:06,20,20,15,25,69,100,0
11/17/23 13:14,0:02:07,20,20,15,24,69,100,0
11/17/23 13:14,0:02:08,20,20,15,23,69,100,0
11/17/23 13:14,0:02:09,20,20,16,22,69,100,0
11/17/23 13:14,0:02:10,20,20,16,24,69,100,0
11/17/23 13:14,0:02:11,20,20,16,27,53,64,0
11/17/23 13:14,0:02:12,20,20,16,25,53,64,0
11/17/23 13:14,0:02:13,20,20,15,26,53,64,0
11/17/23 13:14,0:02:14,20,20,16,28,55,64,0
11/17/23 13:14,0:02:15,20,20,15,27,54,64,0
11/17/23 13:14,0:02:16,20,20,16,28,54,64,0
11/17/23 13:14,0:02:17,20,20,16,26,54,64,0
11/17/23 13:14,0:02:18,20,20,16,27,53,64,0
11/17/23 13:14,0:02:19,20,20,16,27,54,64,0
11/17/23 13:14,0:02:20,20,20,15,25,55,64,0
11/17/23 13:14,0:02:21,20,20,16,24,53,64,0
11/17/23 13:14,0:02:22,20,20,15,23,56,64,0
11/17/23 13:14,0:02:23,20,20,16,22,55,64,0
11/17/23 13:14,0:02:24,20,20,17,23,54,64,0
11/17/23 13:14,0:02:25,20,20,18,24,55,64,0
11/17/23 13:14,0:02:26,20,20,16,24,52,64,0
11/17/23 13:14,0:02:27,20,20,16,25,53,64,0
11/17/23 13:14,0:02:28,20,20,16,30,55,46,0
11/17/23 13:15,0:02:30,20,20,15,30,54,29,0
11/17/23 13:15,0:02:31,20,20,15,30,54,29,0
11/17/23 13:15,0:02:32,20,20,16,29,53,30,0
11/17/23 13:15,0:02:33,20,20,16,27,53,29,0
11/17/23 13:15,0:02:34,20,20,15,28,53,27,0
11/17/23 13:15,0:02:35,20,20,15,27,54,29,0
11/17/23 13:15,0:02:36,20,20,16,28,54,31,0
11/17/23 13:15,0:02:37,20,20,16,28,54,30,0
11/17/23 13:15,0:02:38,20,20,16,28,53,28,0
11/17/23 13:15,0:02:39,20,20,15,30,52,29,0
11/17/23 13:15,0:02:40,20,20,15,28,53,31,0
11/17/23 13:15,0:02:41,20,20,16,27,53,32,0
11/17/23 13:15,0:02:42,20,20,15,25,54,32,0
11/17/23 13:15,0:02:43,20,20,16,28,53,32,0
11/17/23 13:15,0:02:44,20.1,20,16,27,54,30,0
11/17/23 13:15,0:02:45,20.1,20,15,28,53,32,0
11/17/23 13:15,0:02:46,20.1,20,16,28,52,32,0
11/17/23 13:15,0:02:47,20.1,20,16,30,52,33,0
11/17/23 13:15,0:02:48,20.1,20,16,31,54,30,0
11/17/23 13:15,0:02:49,20.1,20,15,28,53,31,0
11/17/23 13:15,0:02:50,20.1,20,15,30,53,30,0
11/17/23 13:15,0:02:51,20.1,20,16,30,52,30,0
11/17/23 13:15,0:02:52,20.1,20,16,29,53,30,0
11/17/23 13:15,0:02:53,20.1,20,15,31,52,31,0
11/17/23 13:15,0:02:54,20.1,20,16,31,54,32,0
11/17/23 13:15,0:02:55,20.1,20,16,30,54,32,0
11/17/23 13:15,0:02:56,20.2,20,16,30,52,32,0
11/17/23 13:15,0:02:57,20.2,20,16,30,51,32,0
11/17/23 13:15,0:02:58,20.2,20.1,15,30,52,32,0
11/17/23 13:15,0:02:59,20.2,20.1,16,28,52,30,0
11/17/23 13:15,0:03:00,20.2,20.1,15,28,53,29,0
11/17/23 13:15,0:03:01,20.2,20.1,16,28,52,28,0
11/17/23 13:15,0:03:02,20.2,20.1,16,30,53,29,0
11/17/23 13:15,0:03:03,20.2,20.1,16,29,53,33,0
11/17/23 13:15,0:03:04,20.2,20.1,15,29,53,30,0
11/17/23 13:15,0:03:05,20.2,20.1,15,30,53,32,0
11/17/23 13:15,0:03:06,20.2,20.1,16,30,53,32,0
11/17/23 13:15,0:03:07,20.2,20.1,16,34,52,31,0
11/17/23 13:15,0:03:08,20.3,20.1,16,34,53,31,0
11/17/23 13:15,0:03:09,20.3,20.1,16,32,52,29,0
11/17/23 13:15,0:03:10,20.3,20.1,16,31,52,30,0
11/17/23 13:15,0:03:11,20.3,20.1,17,33,52,32,0
11/17/23 13:15,0:03:12,20.3,20.2,17,32,53,31,0
11/17/23 13:15,0:03:13,20.3,20.2,16,34,52,32,0
11/17/23 13:15,0:03:14,20.3,20.2,16,33,54,30,0
11/17/23 13:15,0:03:15,20.3,20.2,16,30,52,30,0
11/17/23 13:15,0:03:16,20.3,20.2,15,30,53,31,0
11/17/23 13:15,0:03:17,20.3,20.2,16,30,53,31,0
11/17/23 13:15,0:03:18,20.3,20.2,15,31,53,32,0
11/17/23 13:15,0:03:19,20.3,20.2,16,30,52,32,0
11/17/23 13:15,0:03:20,20.4,20.2,16,33,52,32,0
11/17/23 13:15,0:03:21,20.4,20.2,15,32,53,32,0
11/17/23 13:15,0:03:22,20.4,20.2,16,32,52,31,0
11/17/23 13:15,0:03:23,20.4,20.2,16,31,51,32,0
11/17/23 13:15,0:03:24,20.4,20.2,16,32,53,31,0
11/17/23 13:15,0:03:25,20.4,20.3,16,32,54,32,0
11/17/23 13:15,0:03:26,20.4,20.3,16,31,53,31,0
11/17/23 13:15,0:03:27,20.4,20.3,16,34,52,32,0
11/17/23 13:15,0:03:28,20.4,20.3,16,33,52,29,0
11/17/23 13:16,0:03:29,20.4,20.3,16,33,52,32,0
11/17/23 13:16,0:03:30,20.4,20.3,16,33,53,31,0
11/17/23 13:16,0:03:31,20.5,20.3,15,34,53,30,0
11/17/23 13:16,0:03:32,20.5,20.3,17,31,52,32,0
11/17/23 13:16,0:03:33,20.5,20.3,16,28,51,32,0
11/17/23 13:16,0:03:34,20.5,20.3,16,29,52,30,0
11/17/23 13:16,0:03:35,20.5,20.3,16,30,54,31,0
11/17/23 13:16,0:03:36,20.5,20.3,16,33,52,32,0
11/17/23 13:16,0:03:37,20.5,20.4,16,32,53,32,0
11/17/23 13:16,0:03:38,20.5,20.4,15,33,52,30,0
11/17/23 13:16,0:03:39,20.5,20.4,16,34,53,30,0
11/17/23 13:16,0:03:40,20.5,20.4,15,36,53,30,0
11/17/23 13:16,0:03:41,20.5,20.4,15,35,50,30,0
11/17/23 13:16,0:03:42,20.5,20.4,16,32,52,30,0
11/17/23 13:16,0:03:43,20.6,20.4,15,33,49,32,0
11/17/23 13:16,0:03:44,20.6,20.4,17,34,53,32,0
11/17/23 13:16,0:03:45,20.6,20.4,16,34,54,30,0
11/17/23 13:16,0:03:46,20.6,20.4,15,34,50,31,0
11/17/23 13:16,0:03:47,20.6,20.4,16,33,54,30,0
11/17/23 13:16,0:03:48,20.6,20.4,16,33,53,29,0
11/17/23 13:16,0:03:50,20.6,20.5,16,34,53,29,0
11/17/23 13:16,0:03:51,20.6,20.5,17,33,52,29,0
11/17/23 13:16,0:03:52,20.6,20.5,16,34,53,28,0
11/17/23 13:16,0:03:53,20.6,20.5,16,34,50,29,0
11/17/23 13:16,0:03:54,20.6,20.5,16,35,55,32,0
11/17/23 13:16,0:03:55,20.6,20.5,16,34,54,32,0
11/17/23 13:16,0:03:56,20.7,20.5,16,34,53,32,0
11/17/23 13:16,0:03:57,20.7,20.5,16,34,54,30,0
11/17/23 13:16,0:03:58,20.7,20.5,16,34,53,29,0
11/17/23 13:16,0:03:59,20.7,20.5,16,34,53,31,0
11/17/23 13:16,0:04:00,20.7,20.5,16,35,55,33,0
11/17/23 13:16,0:04:01,20.7,20.5,16,36,53,27,0
11/17/23 13:16,0:04:02,20.7,20.6,16,35,52,29,0
11/17/23 13:16,0:04:03,20.7,20.6,15,36,53,30,0
11/17/23 13:16,0:04:04,20.7,20.6,16,37,52,31,0
11/17/23 13:16,0:04:05,20.7,20.6,16,37,52,29,0
11/17/23 13:16,0:04:06,20.7,20.6,16,36,54,29,0
11/17/23 13:16,0:04:07,20.7,20.6,16,36,52,30,0
11/17/23 13:16,0:04:08,20.8,20.6,16,39,54,30,0
11/17/23 13:16,0:04:09,20.8,20.6,16,34,54,29,0
11/17/23 13:16,0:04:10,20.8,20.6,16,38,53,32,0
11/17/23 13:16,0:04:11,20.8,20.6,16,36,54,32,0
11/17/23 13:16,0:04:12,20.8,20.6,15,38,54,32,0
11/17/23 13:16,0:04:13,20.8,20.6,15,36,54,31,0
11/17/23 13:16,0:04:14,20.8,20.7,15,37,53,31,0
11/17/23 13:16,0:04:15,20.8,20.7,16,37,54,30,0
11/17/23 13:16,0:04:16,20.8,20.7,15,36,52,31,0
11/17/23 13:16,0:04:17,20.8,20.7,16,37,54,31,0
11/17/23 13:16,0:04:18,20.8,20.7,16,36,52,31,0
11/17/23 13:16,0:04:19,20.8,20.7,15,36,53,30,0
11/17/23 13:16,0:04:20,20.9,20.7,16,36,55,31,0
11/17/23 13:16,0:04:21,20.9,20.7,16,37,54,29,0
11/17/23 13:16,0:04:22,20.9,20.7,16,37,53,29,0
11/17/23 13:16,0:04:23,20.9,20.7,15,38,53,29,0
11/17/23 13:16,0:04:24,20.9,20.7,15,37,55,30,0
11/17/23 13:16,0:04:25,20.9,20.7,16,37,53,30,0
11/17/23 13:16,0:04:26,20.9,20.8,17,37,54,30,0
11/17/23 13:16,0:04:27,20.9,20.8,16,37,53,29,0
11/17/23 13:16,0:04:28,20.9,20.8,16,37,55,30,0
11/17/23 13:17,0:04:29,20.9,20.8,15,37,53,32,0
11/17/23 13:17,0:04:30,20.9,20.8,16,39,55,30,0
11/17/23 13:17,0:04:31,20.9,20.8,16,38,53,30,0
11/17/23 13:17,0:04:32,21,20.8,16,37,53,30,0
11/17/23 13:17,0:04:33,21,20.8,16,37,53,30,0
11/17/23 13:17,0:04:34,21,20.8,16,38,54,30,0
11/17/23 13:17,0:04:35,21,20.8,16,39,54,31,0
11/17/23 13:17,0:04:36,21,20.9,16,39,55,30,0
11/17/23 13:17,0:04:37,21,20.9,16,38,55,31,0
11/17/23 13:17,0:04:38,21,20.9,16,38,56,32,0
11/17/23 13:17,0:04:39,21,20.9,16,39,55,32,0
11/17/23 13:17,0:04:40,21,20.9,16,37,56,29,0
11/17/23 13:17,0:04:41,21,20.9,16,38,53,30,0
11/17/23 13:17,0:04:42,21,20.9,16,39,55,30,0
11/17/23 13:17,0:04:43,21.1,20.9,15,38,55,29,0
11/17/23 13:17,0:04:44,21.1,20.9,16,36,55,31,0
11/17/23 13:17,0:04:45,21.1,20.9,16,36,53,29,0
11/17/23 13:17,0:04:46,21.1,20.9,16,33,56,29,0
11/17/23 13:17,0:04:47,21.1,20.9,16,33,53,29,0
11/17/23 13:17,0:04:48,21.1,21,16,36,53,31,0
11/17/23 13:17,0:04:49,21.1,21,15,36,55,30,0
11/17/23 13:17,0:04:50,21.1,21,15,36,56,31,0
11/17/23 13:17,0:04:51,21.1,21,16,38,56,31,0
11/17/23 13:17,0:04:52,21.1,21,16,36,54,30,0
11/17/23 13:17,0:04:53,21.1,21,16,38,55,30,0
11/17/23 13:17,0:04:54,21.1,21,15,38,56,30,0
11/17/23 13:17,0:04:55,21.2,21,15,37,54,30,0
11/17/23 13:17,0:04:56,21.2,21,16,37,53,31,0
11/17/23 13:17,0:04:57,21.2,21,15,37,54,30,0
11/17/23 13:17,0:04:58,21.2,21,15,38,53,29,0
11/17/23 13:17,0:04:59,21.2,21,16,38,55,30,0
11/17/23 13:17,0:05:00,21.2,21.1,16,37,53,30,0
11/17/23 13:17,0:05:01,21.2,21.1,16,39,55,30,0
11/17/23 13:17,0:05:02,21.2,21.1,16,40,54,32,0
11/17/23 13:17,0:05:03,21.2,21.1,16,36,54,32,0
11/17/23 13:17,0:05:04,21.2,21.1,16,37,56,29,0
11/17/23 13:17,0:05:05,21.2,21.1,16,39,55,30,0
11/17/23 13:17,0:05:06,21.2,21.1,16,37,55,27,0
11/17/23 13:17,0:05:07,21.3,21.1,16,38,55,28,0
11/17/23 13:17,0:05:09,21.3,21.1,15,39,56,29,0
11/17/23 13:17,0:05:10,21.3,21.1,16,39,55,32,0
11/17/23 13:17,0:05:11,21.3,21.1,15,40,54,30,0
11/17/23 13:17,0:05:12,21.3,21.1,16,39,54,29,0
11/17/23 13:17,0:05:13,21.3,21.2,16,39,55,27,0
11/17/23 13:17,0:05:14,21.3,21.2,16,39,55,30,0
11/17/23 13:17,0:05:15,21.3,21.2,16,39,55,30,0
11/17/23 13:17,0:05:16,21.3,21.2,15,39,56,30,0
11/17/23 13:17,0:05:17,21.3,21.2,16,39,53,30,0
11/17/23 13:17,0:05:18,21.3,21.2,16,38,54,30,0
11/17/23 13:17,0:05:19,21.3,21.2,15,38,55,29,0
11/17/23 13:17,0:05:20,21.4,21.2,15,39,56,29,0
11/17/23 13:17,0:05:21,21.4,21.2,16,39,56,31,0
11/17/23 13:17,0:05:22,21.4,21.2,16,39,55,30,0
11/17/23 13:17,0:05:23,21.4,21.2,15,39,56,29,0
11/17/23 13:17,0:05:24,21.4,21.3,15,39,55,30,0
11/17/23 13:17,0:05:25,21.4,21.3,15,42,55,28,0
11/17/23 13:17,0:05:26,21.4,21.3,15,40,56,27,0
11/17/23 13:17,0:05:27,21.4,21.3,16,41,55,29,0
11/17/23 13:17,0:05:28,21.4,21.3,16,38,56,30,0
11/17/23 13:18,0:05:29,21.4,21.3,16,41,58,31,0
11/17/23 13:18,0:05:30,21.4,21.3,16,42,56,31,0
11/17/23 13:18,0:05:31,21.4,21.3,16,40,57,29,0
11/17/23 13:18,0:05:32,21.5,21.3,17,40,56,29,0
11/17/23 13:18,0:05:33,21.5,21.3,16,41,56,30,0
11/17/23 13:18,0:05:34,21.5,21.3,16,41,55,30,0
11/17/23 13:18,0:05:35,21.5,21.3,16,39,56,31,0
11/17/23 13:18,0:05:36,21.5,21.4,16,41,56,29,0
11/17/23 13:18,0:05:37,21.5,21.4,15,41,57,29,0
11/17/23 13:18,0:05:38,21.5,21.4,16,41,55,30,0
11/17/23 13:18,0:05:39,21.5,21.4,16,39,56,31,0
11/17/23 13:18,0:05:40,21.5,21.4,16,40,55,27,0
11/17/23 13:18,0:05:41,21.5,21.4,15,38,55,29,0
11/17/23 13:18,0:05:42,21.5,21.4,16,37,56,30,0
11/17/23 13:18,0:05:43,21.5,21.4,16,38,55,27,0
11/17/23 13:18,0:05:44,21.6,21.4,15,37,57,30,0
11/17/23 13:18,0:05:45,21.6,21.4,15,40,58,29,0
11/17/23 13:18,0:05:46,21.6,21.4,16,40,55,29,0
11/17/23 13:18,0:05:47,21.6,21.4,16,39,56,29,0
11/17/23 13:18,0:05:48,21.6,21.5,16,38,54,29,0
11/17/23 13:18,0:05:49,21.6,21.5,15,40,56,29,0
11/17/23 13:18,0:05:50,21.6,21.5,15,37,55,29,0
11/17/23 13:18,0:05:51,21.6,21.5,16,39,56,30,0
11/17/23 13:18,0:05:52,21.6,21.5,15,39,57,27,0
11/17/23 13:18,0:05:53,21.6,21.5,15,41,56,29,0
11/17/23 13:18,0:05:54,21.6,21.5,15,41,56,30,0
11/17/23 13:18,0:05:55,21.7,21.5,15,39,56,31,0
11/17/23 13:18,0:05:56,21.7,21.5,15,40,56,30,0
11/17/23 13:18,0:05:57,21.7,21.5,16,38,55,30,0
11/17/23 13:18,0:05:58,21.7,21.5,16,40,56,29,0
11/17/23 13:18,0:05:59,21.7,21.6,15,41,57,26,0
11/17/23 13:18,0:06:00,21.7,21.6,16,43,57,27,0
11/17/23 13:18,0:06:01,21.7,21.6,16,42,58,29,0
11/17/23 13:18,0:06:02,21.7,21.6,15,41,56,29,0
11/17/23 13:18,0:06:03,21.7,21.6,15,41,57,31,0
11/17/23 13:18,0:06:04,21.7,21.6,16,41,58,29,0
11/17/23 13:18,0:06:05,21.7,21.6,15,42,59,28,0
11/17/23 13:18,0:06:06,21.7,21.6,15,41,58,30,0
11/17/23 13:18,0:06:07,21.8,21.6,15,41,56,29,0
11/17/23 13:18,0:06:08,21.8,21.6,16,42,57,29,0
11/17/23 13:18,0:06:09,21.8,21.6,15,41,58,29,0
11/17/23 13:18,0:06:10,21.8,21.6,16,41,59,27,0
11/17/23 13:18,0:06:11,21.8,21.7,16,39,56,29,0
11/17/23 13:18,0:06:12,21.8,21.7,15,41,57,29,0
11/17/23 13:18,0:06:13,21.8,21.7,15,41,56,30,0
11/17/23 13:18,0:06:14,21.8,21.7,15,40,57,29,0
11/17/23 13:18,0:06:15,21.8,21.7,15,38,58,30,0
11/17/23 13:18,0:06:16,21.8,21.7,15,37,59,30,0
11/17/23 13:18,0:06:17,21.8,21.7,16,39,56,30,0
11/17/23 13:18,0:06:18,21.8,21.7,16,37,59,29,0
11/17/23 13:18,0:06:19,21.9,21.7,16,38,58,29,0
11/17/23 13:18,0:06:20,21.9,21.7,16,41,59,27,0
11/17/23 13:18,0:06:21,21.9,21.7,16,40,58,26,0
11/17/23 13:18,0:06:22,21.9,21.8,16,40,58,29,0
11/17/23 13:18,0:06:23,21.9,21.8,16,39,58,29,0
11/17/23 13:18,0:06:24,21.9,21.8,15,39,58,29,0
11/17/23 13:18,0:06:25,21.9,21.8,15,41,58,30,0
11/17/23 13:18,0:06:26,21.9,21.8,15,41,59,29,0
11/17/23 13:18,0:06:28,21.9,21.8,16,39,56,27,0
11/17/23 13:18,0:06:29,21.9,21.8,15,41,58,26,0
11/17/23 13:19,0:06:30,21.9,21.8,16,40,58,27,0
11/17/23 13:19,0:06:31,21.9,21.8,15,37,59,26,0
11/17/23 13:19,0:06:32,22,21.8,15,39,59,27,0
11/17/23 13:19,0:06:33,22,21.8,16,39,59,27,0
11/17/23 13:19,0:06:34,22,21.8,16,42,59,30,0
11/17/23 13:19,0:06:35,22,21.9,15,39,58,29,0
11/17/23 13:19,0:06:36,22,21.9,15,39,56,27,0
11/17/23 13:19,0:06:37,22,21.9,15,39,57,29,0
11/17/23 13:19,0:06:38,22,21.9,15,42,58,26,0
11/17/23 13:19,0:06:39,22,21.9,15,41,58,29,0
11/17/23 13:19,0:06:40,22,21.9,15,41,57,29,0
11/17/23 13:19,0:06:41,22,21.9,15,42,58,28,0
11/17/23 13:19,0:06:42,22,21.9,16,41,58,27,0
11/17/23 13:19,0:06:43,22,21.9,15,39,58,30,0
11/17/23 13:19,0:06:44,22.1,21.9,15,41,59,29,0
11/17/23 13:19,0:06:45,22.1,21.9,15,41,56,29,0
11/17/23 13:19,0:06:46,22.1,21.9,16,41,59,30,0
11/17/23 13:19,0:06:47,22.1,22,15,41,57,27,0
11/17/23 13:19,0:06:48,22.1,22,16,41,58,30,0
11/17/23 13:19,0:06:49,22.1,22,15,39,58,29,0
11/17/23 13:19,0:06:50,22.1,22,15,41,60,26,0
11/17/23 13:19,0:06:51,22.1,22,15,41,59,26,0
11/17/23 13:19,0:06:52,22.1,22,15,41,58,27,0
11/17/23 13:19,0:06:53,22.1,22,16,39,59,29,0
11/17/23 13:19,0:06:54,22.1,22,16,41,59,27,0
11/17/23 13:19,0:06:55,22.1,22,15,41,61,29,0
11/17/23 13:19,0:06:56,22.2,22,15,39,60,28,0
11/17/23 13:19,0:06:57,22.2,22,16,40,60,29,0
11/17/23 13:19,0:06:58,22.2,22,15,40,61,29,0
11/17/23 13:19,0:06:59,22.2,22.1,16,42,59,27,0
11/17/23 13:19,0:07:00,22.2,22.1,15,41,59,29,0
11/17/23 13:19,0:07:01,22.2,22.1,16,42,60,29,0
11/17/23 13:19,0:07:02,22.2,22.1,16,42,58,29,0
11/17/23 13:19,0:07:03,22.2,22.1,15,41,59,29,0
11/17/23 13:19,0:07:04,22.2,22.1,16,42,61,29,0
11/17/23 13:19,0:07:05,22.2,22.1,15,42,62,27,0
11/17/23 13:19,0:07:06,22.2,22.1,15,42,61,29,0
11/17/23 13:19,0:07:07,22.3,22.1,15,41,58,29,0
11/17/23 13:19,0:07:08,22.3,22.2,15,44,61,29,0
11/17/23 13:19,0:07:09,22.3,22.2,15,42,61,25,0
11/17/23 13:19,0:07:10,22.3,22.2,15,41,61,26,0
